Strain,GISAID Clade,Age,Clade,Country,Country of exposure,Admin Division,genbank_accession,gisaid_epi_isl,Host,Old Nextstrain clade,Originating Lab,Pangolin lineage,Submission Date,Region,Region of exposure,Sex,Submitting Lab,url,Collection Date,Author,Division of exposure,Location
Denmark/ALAB-SSI-1337/2020,GH,,20C,Europe,Europe,Europe,,EPI_ISL_437644,Human,A2a,"Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark, Artillerivej 5, 2300 Copenahgen S",B.1,Older,Europe,Europe,,"Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark",,2020-04-02,Rasmus Kirkegaard et al,,
Denmark/ALAB-SSI-570/2020,GH,,20C,Europe,Europe,Europe,,EPI_ISL_436973,Human,A2a,"Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark, Artillerivej 5, 2300 Copenahgen S",B.1,Older,Europe,Europe,,"Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark",,2020-03-28,Rasmus Kirkegaard et al,,
Denmark/ALAB-SSI-654/2020,GH,,20C,Europe,Europe,Europe,,EPI_ISL_437025,Human,A2a,"Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark, Artillerivej 5, 2300 Copenahgen S",B.1,Older,Europe,Europe,,"Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark",,2020-03-29,Rasmus Kirkegaard et al,,
Denmark/SSI-01/2020,GR,45,20B,Europe,Europe,Europe,,EPI_ISL_416142,Human,A2a,"Department of Virus and Microbiological Special diagnostics, Statens Serum Institut, Copenhagen, Denmark.",B.1.1,Older,Europe,Europe,Male,Statens Serum Institute,,2020-02-26,Morten Rasmussen et al,,
Denmark/SSI-02/2020,G,54,20A,Europe,Europe,Europe,,EPI_ISL_416143,Human,A2a,"Department of Virus and Microbiological Special diagnostics, Statens Serum Institut, Copenhagen, Denmark.",B.1,Older,Europe,Europe,Male,ViFU,,2020-02-28,Morten Rasmussen et al,,
DRC/04186/2020,S,23,19B,Africa,Africa,Africa,,EPI_ISL_471411,Human,B4,"Viral Respiratory Lab, National Institute for Biomedical Research (INRB)",A,1-2 days ago,Africa,Africa,Male,"Pathogen Sequencing Lab, National Institute for Biomedical Research (INRB)",,2020-04-25,Placide Mbala-Kingebeni et al,,
DRC/108/2020,G,41,20A,Africa,Africa,Africa,,EPI_ISL_417948,Human,A2a,"Viral Respiratory Lab, National Institute for Biomedical Research (INRB)",B.1,Older,Africa,Africa,Male,"Pathogen Sequencing Lab, National Institute for Biomedical Research (INRB)",,2020-03-19,Placide Mbala-Kingebeni et al,,
DRC/1319/2020,G,29,20A,Africa,Africa,Africa,,EPI_ISL_431011,Human,A2a,"Viral Respiratory Lab, National Institute for Biomedical Research (INRB)",B.1,Older,Africa,Africa,Male,"Pathogen Sequencing Lab, National Institute for Biomedical Research (INRB)",,2020-04-07,Placide Mbala-Kingebeni et al,,
DRC/1324/2020,G,43,20A,Africa,Africa,Africa,,EPI_ISL_435033,Human,A2a,"Viral Respiratory Lab, National Institute for Biomedical Research (INRB)",B.1,Older,Africa,Africa,Male,"Pathogen Sequencing Lab, National Institute for Biomedical Research (INRB)",,2020-04-07,Placide Mbala-Kingebeni et al,,
DRC/191/2020,G,26,20A,Africa,Africa,Africa,,EPI_ISL_417955,Human,A2a,"Viral Respiratory Lab, National Institute for Biomedical Research (INRB)",B.1,Older,Africa,Africa,Female,"Pathogen Sequencing Lab, National Institute for Biomedical Research (INRB)",,2020-03-21,Placide Mbala-Kingebeni et al,,
DRC/2133/2020,G,46,20A,Africa,Africa,Africa,,EPI_ISL_435168,Human,A2a,"Viral Respiratory Lab, National Institute for Biomedical Research (INRB)",B.1,Older,Africa,Africa,Male,"Pathogen Sequencing Lab, National Institute for Biomedical Research (INRB)",,2020-04-13,Placide Mbala-Kingebeni et al,,
DRC/236/2020,G,69,20A,Africa,Africa,Africa,,EPI_ISL_420032,Human,A2a,"Viral Respiratory Lab, National Institute for Biomedical Research (INRB)",B.1,Older,Africa,Africa,Female,"Pathogen Sequencing Lab, National Institute for Biomedical Research (INRB)",,2020-03-22,Placide Mbala-Kingebeni et al,,
DRC/KN-0038/2020,G,70,20A,Africa,Africa,Africa,,EPI_ISL_417434,Human,A2a,"Viral Respiratory Lab, National Institute for Biomedical Research (INRB)",B.1,Older,Africa,Africa,Male,"Pathogen Sequencing Lab, National Institute for Biomedical Research (INRB)",,2020-03-14,Placide Mbala-Kingebeni et al,,
Ecuador/HEE-01/2020,L,57,19A,South America,South America,South America,,EPI_ISL_417482,Human,A6,"Institute of Microbiology, Universidad San Francisco de Quito",B,Older,South America,South America,Male,"Institute of Microbiology, Universidad San Francisco de Quito",,2020-03-09,Sully Márquez et al,,
Ecuador/HGSQ-USFQ-018/2020,GR,27,20B,South America,South America,South America,,EPI_ISL_422563,Human,A2a,Institute of Microbiology Universidad San Francisco de Quito,B.1.1,Older,South America,South America,Male,Institute of Microbiology Universidad San Francisco de Quito,,2020-03-30,Belen Prado-Vivar et al (https://dx.doi.org/10.1101/2020.06.11.20128330),,
Ecuador/USFQ-020/2020,G,50,20A,South America,South America,South America,,EPI_ISL_471267,Human,A2a,Hospital IESS Babahoyo,B.1.67,3-7 days ago,South America,South America,Female,"Institute of Microbiology, Universidad San Francisco de Quito",,2020-04-17,Sully Márquez et al,,
Ecuador/USFQ-045/2020,GR,19,20B,South America,South America,South America,,EPI_ISL_471268,Human,A2a,Hospital IESS Babahoyo,B.1.1.9,3-7 days ago,South America,South America,Male,"Institute of Microbiology, Universidad San Francisco de Quito",,2020-04-17,Belén Prado-Vivar et al,,
Ecuador/USFQ-106/2020,GR,,20B,South America,South America,South America,,EPI_ISL_471271,Human,A2a,Hospital Oncológico Solca Núcleo de Quito,B.1.1,3-7 days ago,South America,South America,Male,"Institute of Microbiology, Universidad San Francisco de Quito",,2020-05-19,Sully Márquez et al,,
Ecuador/USFQ-112/2020,GR,,20B,South America,South America,South America,,EPI_ISL_471270,Human,A2a,Hospital Oncológico Solca Núcleo de Quito,B.1.1,3-7 days ago,South America,South America,Female,"Institute of Microbiology, Universidad San Francisco de Quito",,2020-05-19,Sully Márquez et al,,
Ecuador/USFQ-707/2020,GR,,20B,South America,South America,South America,,EPI_ISL_471269,Human,A2a,Hospital Oncológico Solca Núcleo de Quito,B.1.1,3-7 days ago,South America,South America,Female,"Institute of Microbiology, Universidad San Francisco de Quito",,2020-06-04,Sully Márquez et al,,
Egypt/CUNCI-HGC003/2020,GH,,20A,Africa,Africa,Africa,,EPI_ISL_468049,Human,A2a,,B.1,One month ago,Africa,Africa,,Cancer Biology Department,,2020-05-02,Zekri et al,,
Egypt/CUNCI-HGC004/2020,G,,20A,Africa,Africa,Africa,,EPI_ISL_468048,Human,A2a,,B.1,One month ago,Africa,Africa,,Cancer Biology Department,,2020-05-02,Zekri et al,,
Egypt/CUNCI-HGC007/2020,GH,,20A,Africa,Africa,Africa,,EPI_ISL_468046,Human,A2a,,B.1,One month ago,Africa,Africa,,Cancer Biology Department,,2020-05-02,Zekri et al,,
Egypt/CUNCI-HGC008/2020,GH,,20A,Africa,Africa,Africa,,EPI_ISL_468044,Human,A2a,,B.1,One month ago,Africa,Africa,,Cancer Biology Department,,2020-05-02,Zekri et al,,
Egypt/NRC-01/2020,GH,5,20A,Africa,Africa,Africa,,EPI_ISL_430820,Human,A2a,"Center of Scientific Excellence for Influenza Viruses, National Research Centre (NRC), Egypt.",B.1,Older,Africa,Africa,Male,"Center of Scientific Excellence for Influenza Viruses, National Research Centre (NRC), Egypt.",,2020-03-18,Mohamed Ahmed Ali et al (https://dx.doi.org/10.3389/fmicb.2020.01316),,
Egypt/NRC-03/2020,GH,35,20A,Africa,Africa,Africa,,EPI_ISL_430819,Human,A2a,"Center of Scientific Excellence for Influenza Viruses,National Research Centre (NRC), Egypt.",B.1.36,Older,Africa,Africa,Female,"Center of Scientific Excellence for Influenza Viruses,National Research Centre (NRC), Egypt.",,2020-03-18,Mohamed Ahmed Ali et al (https://dx.doi.org/10.3389/fmicb.2020.01316),,
England/01/2020,S,50,19B,Europe,Asia,Europe,,EPI_ISL_407071,Human,B,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England",A,Older,Europe,Asia,Female,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England",,2020-01-29,Monica Galiano et al (https://virological.org/t/preliminary-analysis-of-sars-cov-2-importation-establishment-of-uk-transmission-lineages/507),Asia,
England/02/2020,S,23,19B,Europe,Asia,Europe,,EPI_ISL_407073,Human,B,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England",A,Older,Europe,Asia,Male,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England",,2020-01-29,Monica Galiano et al (https://virological.org/t/preliminary-analysis-of-sars-cov-2-importation-establishment-of-uk-transmission-lineages/507),Asia,
England/20099000304/2020,O,43,19A,Europe,Europe,Europe,,EPI_ISL_464199,Human,A3,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England",B.4,One week ago,Europe,Europe,Male,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England",,2020-02-28,PHE Covid Sequencing Team et al,,
England/200990006/2020,V,52,19A,Europe,Europe,Europe,,EPI_ISL_414011,Human,A1a,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England",B.2,Older,Europe,Europe,Female,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England",,2020-02-26,Monica Galiano et al (https://virological.org/t/preliminary-analysis-of-sars-cov-2-importation-establishment-of-uk-transmission-lineages/507),,
England/20100007104/2020,O,42,19A,Europe,Europe,Europe,,EPI_ISL_464254,Human,A3,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England",B.4,One week ago,Europe,Europe,Male,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England",,2020-02-29,PHE Covid Sequencing Team et al,,
England/20102087902/2020,V,34,19A,Europe,Europe,Europe,,EPI_ISL_417215,Human,A1a,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England",B.2.2,Older,Europe,Europe,Female,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England",,2020-02-25,Monica Galiano et al (https://virological.org/t/preliminary-analysis-of-sars-cov-2-importation-establishment-of-uk-transmission-lineages/507),,
England/201080059/2020,G,28,20A,Europe,Europe,Europe,,EPI_ISL_464449,Human,A2a,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England",B.1,One week ago,Europe,Europe,Male,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England",,2020-03-05,PHE Covid Sequencing Team et al,,
England/20129085704/2020,G,47,20A,Europe,Europe,Europe,,EPI_ISL_424076,Human,A2a,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England",B.1,Older,Europe,Europe,Male,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England",,2020-03-21,Monica Galiano et al (https://virological.org/t/preliminary-analysis-of-sars-cov-2-importation-establishment-of-uk-transmission-lineages/507),,
England/20186084504/2020,GR,64,20B,Europe,Europe,Europe,,EPI_ISL_465709,Human,A2a,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England",B.1.1.1,One week ago,Europe,Europe,Female,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England",,2020-04-28,PHE Covid Sequencing Team et al,,
England/20236092104/2020,GR,19,20B,Europe,Europe,Europe,,EPI_ISL_471510,Human,A2a,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England",B.1.1,New,Europe,Europe,Female,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England",,2020-06-03,PHE Covid Sequencing Team et al,,
England/20238034404/2020,S,21,19B,Europe,Europe,Europe,,EPI_ISL_471513,Human,B,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England",A,New,Europe,Europe,Female,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England",,2020-06-03,PHE Covid Sequencing Team et al,,
England/20246148004/2020,GR,62,20B,Europe,Europe,Europe,,EPI_ISL_471527,Human,A2a,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England",B.1.1,New,Europe,Europe,Male,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England",,2020-06-10,PHE Covid Sequencing Team et al,,
England/CAMB-72F2A/2020,V,,19A,Europe,Europe,Europe,,EPI_ISL_440097,Human,A1a,"Department of Pathology, University of Cambridge",B.2.1,Older,Europe,Europe,,Wellcome Sanger Institute for the COVID-19 Genomics UK Consortium,,2020-03-23,Luke W Meredith et al (https://virological.org/t/preliminary-analysis-of-sars-cov-2-importation-establishment-of-uk-transmission-lineages/507),,
England/EXET-136686/2020,GR,,20B,Europe,Europe,Europe,,EPI_ISL_457229,Human,A2a,University of Exeter,B.1.1,One month ago,Europe,Europe,,COVID-19 Genomics UK (COG-UK) Consortium,,2020-05-01,Ben Temperton et al (https://virological.org/t/preliminary-analysis-of-sars-cov-2-importation-establishment-of-uk-transmission-lineages/507),,
England/EXET-136B4B/2020,GR,,20B,Europe,Europe,Europe,,EPI_ISL_457249,Human,A2a,University of Exeter,B.1.1,One month ago,Europe,Europe,,COVID-19 Genomics UK (COG-UK) Consortium,,2020-05-11,Ben Temperton et al (https://virological.org/t/preliminary-analysis-of-sars-cov-2-importation-establishment-of-uk-transmission-lineages/507),,
England/EXET-136B69/2020,GR,,20B,Europe,Europe,Europe,,EPI_ISL_457250,Human,A2a,University of Exeter,B.1.1,One month ago,Europe,Europe,,COVID-19 Genomics UK (COG-UK) Consortium,,2020-04-24,Ben Temperton et al (https://virological.org/t/preliminary-analysis-of-sars-cov-2-importation-establishment-of-uk-transmission-lineages/507),,
England/LOND-D5839/2020,GR,,20B,Europe,Europe,Europe,,EPI_ISL_449728,Human,A2a,"University College London, Great Ormond Street Hospital for Children NHS Foundation Trust, Imperial College Healthcare NHS Trust",B.1.1,Older,Europe,Europe,,COVID-19 Genomics UK (COG-UK) Consortium,,2020-04-17,Sergi Castellano et al (https://virological.org/t/preliminary-analysis-of-sars-cov-2-importation-establishment-of-uk-transmission-lineages/507),,
England/NORW-EAC08/2020,V,,19A,Europe,Europe,Europe,,EPI_ISL_457362,Human,A1a,Quadram Institute Bioscience,B.2,One month ago,Europe,Europe,,COVID-19 Genomics UK (COG-UK) Consortium,,2020-05-09,Dave J. Baker et al (https://virological.org/t/preliminary-analysis-of-sars-cov-2-importation-establishment-of-uk-transmission-lineages/507),,
England/NORW-EAC35/2020,V,,19A,Europe,Europe,Europe,,EPI_ISL_457365,Human,A1a,Quadram Institute Bioscience,B.2,One month ago,Europe,Europe,,COVID-19 Genomics UK (COG-UK) Consortium,,2020-05-11,Dave J. Baker et al (https://virological.org/t/preliminary-analysis-of-sars-cov-2-importation-establishment-of-uk-transmission-lineages/507),,
England/NOTT-111B64/2020,G,,20A,Europe,Europe,Europe,,EPI_ISL_461965,Human,A2a,"Queens Medical Centre, Clinical Microbiology Department / DeepSeq Nottingham",B.1,One month ago,Europe,Europe,,COVID-19 Genomics UK (COG-UK) Consortium,,2020-06-02,Gemma Clark et al,,
env/Beijing/IVDC-03-06/2020,GR,,20B,Asia,Asia,Asia,,EPI_ISL_469256,Environment,A2a,"National Institute for Viral Disease Control and Prevention, China CDC",B.1.1,3-7 days ago,Asia,Asia,,"National Institute for Viral Disease Control and Prevention, China CDC",,2020-06-11,Xiang Zhao et al,,
env/USA/FL-UF11/2020,S,,19B,USA,USA,Florida,,EPI_ISL_447900,Environment,B1,Lednicky Laboratory at Emerging Pathogens Institute,A.1,Older,North America,North America,,University of Florida,,2020-02-21,Lednicky et al,,
env/USA/FL-UF3/2020,S,,19B,USA,USA,Florida,,EPI_ISL_434677,Environment,B,Lednicky Laboratory at Emerging Pathogens Institute,A.3,Older,North America,North America,,Lednicky Laboratory at Emerging Pathogens Institute,,2020-03-25,Shankar et al,,
env/USA/MT-BWRF-0327/2020,GH,,20C,USA,USA,Montana,,EPI_ISL_437434,Environment,A2a,Bozeman Water Reclamation Facility,B.1,Older,North America,North America,,"Wiedenheft lab, Montana State University",,2020-03-27,Artem Nemudryi et al,,
env/USA/UN-UF-12/2020,GH,,20C,USA,USA,Florida,,EPI_ISL_455682,Environment,A2a,University of Florida,B.1,One month ago,North America,North America,,University of Florida,,2020-04-23,Lednicky et al,,
Finland/1/2020,L,32,19A,Europe,Asia,Europe,MT020781,EPI_ISL_407079,Human,,Lapland Central Hospital,B,Older,Europe,Asia,Female,"Department of Virology, University of Helsinki and Helsinki University Hospital, Helsinki, Finland",,2020-01-29,Teemu Smura et al A,Asia,
Finland/13M57/2020,G,78,20A,Europe,Europe,Europe,,EPI_ISL_418391,Human,A2a,"Department of Virology and Immunology, University of Helsinki and Helsinki University Hospital, Huslab Finland",B.1.5,Older,Europe,Europe,Female,"Department of Virology, Faculty of Medicine, University of Helsinki, Helsinki, Finland",,2020-03-13,Teemu Smura et al A,,
Finland/13M82/2020,GH,80,20A,Europe,Europe,Europe,,EPI_ISL_418399,Human,A2a,"Department of Virology and Immunology, University of Helsinki and Helsinki University Hospital, Huslab Finland",B.1,Older,Europe,Europe,Male,"Department of Virology, Faculty of Medicine, University of Helsinki, Helsinki, Finland",,2020-03-13,Teemu Smura et al A,,
Finland/14M74/2020,L,78,19A,Europe,Europe,Europe,,EPI_ISL_418409,Human,,"Department of Virology and Immunology, University of Helsinki and Helsinki University Hospital, Huslab Finland",B.3,Older,Europe,Europe,Male,"Department of Virology, Faculty of Medicine, University of Helsinki, Helsinki, Finland",,2020-03-14,Teemu Smura et al A,,
Finland/FIN-25/2020,G,24,20A,Europe,Europe,Europe,,EPI_ISL_412971,Human,A2a,"HUS Diagnostiikkakeskus, Hallinto",B.1,Older,Europe,Europe,Female,"Department of Virology Faculty of Medicine, Medicum University of Helsinki",,2020-02-25,Teemu Smura et al B (https://dx.doi.org/10.1002/jmv.25773),,
Finland/FIN03032020B/2020,V,55,19A,Europe,Europe,Europe,,EPI_ISL_413603,Human,A1a,"Department of Virology and Immunology, University of Helsinki and Helsinki University Hospital, Huslab Finland",B.2,Older,Europe,Europe,Female,"Department of Virology, Faculty of Medicine, University of Helsinki, Helsinki, Finland",,2020-03-03,Teemu Smura et al A,,
Foshan/20SF210/2020,L,57,19A,Asia,Asia,Asia,,EPI_ISL_406535,Human,,Guangdong Provincial Center for Diseases Control and Prevention; Guangdong Provincial Public Health,B,Older,Asia,Asia,Female,Guangdong Provincial Center for Diseases Control and Prevention,,2020-01-22,Min Kang et al,,
France/ARA10257/2020,G,56,20A,Europe,Europe,Europe,,EPI_ISL_418427,Human,A2a,Hopital Privé de l'Est Lyonnais,B.1,Older,Europe,Europe,Female,CNR Virus des Infections Respiratoires - France SUD,,2020-03-17,Antonin Bal et al,,
France/B1623/2020,GH,73,20A,Europe,Europe,Europe,,EPI_ISL_418219,Human,A2a,CHU - Hôpital Cavale Blanche - Labo. de Virologie,B.1,Older,Europe,Europe,Male,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",,2020-02-26,Mélanie Albert et al A (https://dx.doi.org/10.1101/2020.04.24.059576),,
